Target_RPS,Actual_RPS,Avg_ms,p50_ms,p95_ms,p99_ms,Success_Rate
10,10,2.385,1.468,5.952,6.932,100.00
50,50,2.370,1.192,6.179,6.819,100.00
100,100,1.918,0.857,5.968,6.372,100.00
500,500,0.975,0.532,2.946,3.509,100.00
1000,999,0.695,0.411,1.786,2.086,100.00
2000,2000,0.530,0.316,1.374,1.542,100.00
5000,4995,0.491,0.311,1.151,1.385,100.00
10000,9998,0.642,0.412,1.569,2.247,100.00
11000,10985,0.909,0.472,2.147,8.340,100.00
12000,11994,7.416,0.643,64.949,115.418,100.00
13000,12989,2.346,1.157,8.303,25.307,100.00
15000,14864,1462.782,1277.637,3365.638,3620.862,100.00
