Mode,Target_RPS,Actual_RPS,Avg_ms,p50_ms,p95_ms,p99_ms,Success_Rate
Sync,100,100,2.731,1.503,7.615,8.038,100.00
Sync,500,500,1.465,0.936,3.911,5.173,100.00
Sync,1000,999,1.080,0.589,2.672,3.563,100.00
Sync,2000,1999,0.725,0.406,1.821,2.640,100.00
Sync,5000,4996,0.508,0.326,1.220,1.498,100.00
Sync,10000,9981,2.083,0.490,2.235,63.435,100.00
Sync,12000,11994,3.060,1.469,11.473,32.287,100.00
Sync,13000,12878,747.122,598.421,2014.372,2236.927,100.00
Sync,15000,14704,3378.187,3138.077,7116.796,7533.174,100.00
Async,100,100,2.003,0.950,5.941,6.622,100.00
Async,500,499,1.021,0.554,3.040,3.809,100.00
Async,1000,999,0.730,0.433,1.816,2.279,100.00
Async,2000,1999,0.547,0.322,1.383,1.610,100.00
Async,5000,4998,0.495,0.312,1.155,1.396,100.00
Async,10000,9992,0.649,0.418,1.586,2.292,100.00
Async,12000,11993,1.251,0.641,2.743,11.322,100.00
Async,13000,12975,4.777,1.791,23.763,52.948,100.00
Async,15000,14814,1797.653,1561.910,4242.479,4654.926,100.00
