Target_RPS,Actual_RPS,Avg_ms,p99_ms,Success_Rate,Achievement_Rate
100,100,1.979,6.540,100.00,100.03
300,300,1.487,5.838,100.00,99.94
500,500,0.981,3.737,100.00,99.99
700,700,0.843,2.706,100.00,99.94
900,900,0.735,2.123,100.00,100.00
1100,1099,0.681,2.077,100.00,99.92
1600,1600,0.589,1.758,100.00,99.99
2100,2100,0.522,1.483,100.00,99.98
2600,2599,0.499,1.423,100.00,99.96
3100,3091,0.481,1.359,100.00,99.72
3600,3596,0.474,1.323,100.00,99.89
4100,4047,0.941,4.972,100.00,98.70
4600,4598,0.479,1.320,100.00,99.96
5100,5099,0.490,1.336,100.00,99.97
6100,6096,0.526,1.479,100.00,99.93
7100,7094,0.552,1.561,100.00,99.91
8100,8092,0.599,1.895,100.00,99.90
9100,9096,0.626,2.346,100.00,99.96
10100,10094,0.665,2.271,100.00,99.94
11100,11100,0.817,3.060,100.00,100.00
12100,12063,51.687,502.955,100.00,99.69
